1 592 1
2 513 56
3 342 20
4 145 81
5 525 58
6 331 48
7 323 35
8 671 89
9 526 82
10 76 74
11 423 18
12 272 86
13 519 71
14 430 51
15 404 31
16 255 2
17 107 10
18 159 37
19 300 15
20 567 17
21 365 98
22 699 45
23 531 12
24 244 1
25 119 1
26 464 38
27 347 53
28 44 57
29 494 60
30 356 61
31 104 17
32 671 66
33 100 45
34 639 35
35 489 6
36 214 61
37 301 78
38 49 80
39 683 52
40 483 30
41 108 87
42 620 72
43 580 95
44 411 92
45 135 54
46 125 15
47 577 46
48 336 24
49 109 86
50 356 21
51 517 78
52 286 84
53 197 99
54 402 99
55 482 61
56 534 39
57 510 27
58 336 30
59 86 84
60 260 3
61 590 38
62 24 10
63 365 68
64 468 6
65 301 1
66 74 91
67 671 28
68 651 28
69 388 59
70 244 69
